track_name,artist_name,released_on,streams,bb_hot_100_peak,sp_top_200_peak,genres,artist_popularity,artist_followers,month_released
In The End,Linkin Park,2000-10-24,5619524,39,46,alternative metal nu metal post-grunge rap metal,87,12295766,10
In Your Head,I Prevail,2016-10-21,1701158,39,152,screamo,74,405904,10
In the Dark,Joji,2018-10-26,2067282,39,83,alternative r&b viral pop,82,1201815,10
In the Name of Love,Martin Garrix,2016-07-29,44854460,39,20,big room edm pop progressive house tropical house,87,9984511,7
Incredible,Future,2017-07-27,3325301,39,82,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,7
Indica Badu,Logic,2018-03-09,9527979,39,20,conscious hip hop dmv rap hip hop pop rap rap,90,3630302,3
Indica Badu,Logic,2018-03-09,9527979,56,20,conscious hip hop dmv rap hip hop pop rap rap,90,3630302,3
Infrared,Pusha T,2018-05-25,2322884,39,90,gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,75,1273324,5
Infrared,Pusha T,2018-05-25,2322884,65,90,gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,75,1273324,5
Ink Blot,Logic,2017-05-05,2603681,39,72,conscious hip hop dmv rap hip hop pop rap rap,90,3630302,5
Inmortal,Romeo Santos,2019-04-05,1519370,39,186,bachata latin tropical,87,7895437,4
Inmortal,Romeo Santos,2019-04-05,1519370,95,186,bachata latin tropical,87,7895437,4
Inside Out,Eve 6,1998-01-01,1421630,39,171,alternative metal alternative rock nu metal pop punk pop rock post-grunge,58,186678,1
Insomnia,Daya,2019-03-08,5010889,39,153,australian pop dance pop electropop pop post-teen pop viral pop,78,863569,3
Inspire Me,Big Sean,2017-02-03,1792708,39,101,detroit hip hop hip hop pop pop rap r&b rap southern hip hop trap music,84,6064850,2
Instinct (feat. MadeinTYO),Roy Woods,2016-12-23,1122012,39,197,canadian hip hop hip hop pop pop rap r&b rap trap music trap soul,71,566676,12
Into It,The 1975,2018-11-30,1810311,39,108,modern alternative rock nu gaze pop shiver pop,82,3087245,11
Into You,Ariana Grande,2016-05-20,14258654,39,63,dance pop pop post-teen pop,97,29083676,5
Intro,Khalid,2019-04-05,17556029,39,24,pop,97,6290470,4
Intro,Khalid,2019-04-05,17556029,53,24,pop,97,6290472,4
Intro : Persona,BTS,2019-04-12,2570539,39,79,k-pop,94,10794043,4
Intro : Persona,BTS,2019-04-12,2570539,53,79,k-pop,94,10794043,4
Intro: Singularity,BTS,2018-05-18,1753397,39,149,k-pop,94,10794043,5
Intro: Singularity,BTS,2018-05-18,1753397,53,149,k-pop,94,10794043,5
Introduction,XXXTENTACION,2018-03-16,2552901,39,105,emo rap miami hip hop,94,12748616,3
Introduction,XXXTENTACION,2018-03-16,2552901,53,105,emo rap miami hip hop,94,12748616,3
Introduction (instructions),XXXTENTACION,2018-03-16,1551082,39,166,emo rap miami hip hop,94,12748616,3
Introduction (instructions),XXXTENTACION,2018-03-16,1551082,53,166,emo rap miami hip hop,94,12748616,3
Is There More,Drake,2018-06-29,14038770,36,20,canadian hip hop canadian pop hip hop pop rap rap,97,36572151,6
Is There More,Drake,2018-06-29,14038770,39,20,canadian hip hop canadian pop hip hop pop rap rap,97,36572151,6
Issues,Julia Michaels,2017-07-28,163417294,11,11,dance pop electropop pop post-teen pop r&b,86,1737007,7
Issues,Julia Michaels,2017-07-28,163417294,39,11,dance pop electropop pop post-teen pop r&b,86,1737007,7
It Ain't Me (with Selena Gomez),Kygo,2017-02-17,131850128,10,3,edm pop tropical house,88,4821169,2
It Ain't Me (with Selena Gomez),Kygo,2017-02-17,131850128,39,3,edm pop tropical house,88,4821169,2
It Won't Kill Ya,The Chainsmokers,2017-04-07,2036144,39,90,dance pop edm electropop pop tropical house,89,12074111,4
It's A Slime (feat. Lil Uzi Vert),Young Thug,2018-08-17,1904847,39,128,atl hip hop atl trap gangster rap hip hop pop pop rap rap southern hip hop trap music,86,4017071,8
